# HMS false-negative spike: random sample of 500-rows
# Generated: 2026-05-21T15:51:51+00:00
# Seed: 42
# Source: audit/hms_archive_staging.db (http_status=500 only)
# Count: 1000
# Format: fastnum<TAB>scrape_fetched_at

2226598	2026-05-16T21:17:38+00:00
2000159	2026-05-16T04:50:36+00:00
2000253	2026-05-16T04:50:36+00:00
2000270	2026-05-16T04:50:36+00:00
2001574	2026-05-16T04:54:23+00:00
2002878	2026-05-16T04:59:31+00:00
2003836	2026-05-16T05:03:22+00:00
2010042	2026-05-16T05:23:48+00:00
2015046	2026-05-16T05:39:13+00:00
2015607	2026-05-16T05:41:49+00:00
2015869	2026-05-16T05:41:49+00:00
2016204	2026-05-16T05:43:05+00:00
2018057	2026-05-16T05:49:28+00:00
2018894	2026-05-16T05:52:02+00:00
2021975	2026-05-16T06:01:04+00:00
2024263	2026-05-16T06:08:48+00:00
2030161	2026-05-16T06:28:08+00:00
2030898	2026-05-16T06:30:44+00:00
2032335	2026-05-16T06:34:34+00:00
2032891	2026-05-16T06:37:08+00:00
2033781	2026-05-16T06:39:41+00:00
2034584	2026-05-16T06:42:16+00:00
2035623	2026-05-16T06:46:06+00:00
2035939	2026-05-16T06:47:22+00:00
2038427	2026-05-16T06:56:19+00:00
2040258	2026-05-16T07:02:41+00:00
2040882	2026-05-16T07:05:14+00:00
2040883	2026-05-16T07:05:14+00:00
2044224	2026-05-16T07:18:10+00:00
2045551	2026-05-16T07:20:44+00:00
2045901	2026-05-16T07:21:59+00:00
2046315	2026-05-16T07:23:17+00:00
2046777	2026-05-16T07:25:54+00:00
2047164	2026-05-16T07:27:12+00:00
2048306	2026-05-16T07:28:30+00:00
2049654	2026-05-16T07:33:42+00:00
2049655	2026-05-16T07:33:42+00:00
2049667	2026-05-16T07:33:42+00:00
2051164	2026-05-16T07:37:31+00:00
2051218	2026-05-16T07:37:31+00:00
2052106	2026-05-16T07:41:22+00:00
2053702	2026-05-16T07:45:15+00:00
